M,K,n_seeds,instances,beam_width,greedy_pre_mean,greedy_pre_std,greedy_pp_mean,greedy_pp_std,beam_pre_mean,beam_pre_std,beam_pp_mean,beam_pp_std,port_pp_mean,port_pp_std,d_raw,d_final,d_port,recovery_pct,port_pp_seed0,port_pp_seed1,port_pp_seed2
120,8,3,30,5,-178.6761079457601,4.565078888953965,-191.5747325761583,4.444569259612188,-180.81070789252385,4.448039201980832,-193.11341273328992,5.420454889216731,-193.523987379286,5.157288805240566,-2.134599946763757,-1.5386801571316084,-1.949254803127701,16.549050832389838,-187.698,-195.369,-197.505
150,1,3,30,5,-36.23552437676324,10.195176450658705,-78.0294953748915,8.729890124941345,-50.65089940812853,8.038715065057321,-80.54368825276696,5.9239841248300396,-83.09179999457467,6.30799888442821,-14.415375031365294,-2.514192877875459,-5.062304619683175,34.491518003902726,-84.232,-76.291,-88.752
150,2,3,30,5,-72.09074652777777,8.999255208293281,-139.7058592936198,7.968714045542523,-91.74393204752603,6.645161042297231,-142.99193202039933,4.09809358728059,-148.93871618652346,5.203649314331993,-19.653185519748263,-3.286072726779537,-9.23285689290367,29.066261543938012,-151.591,-142.943,-152.282
150,3,3,30,5,-169.16086756727432,3.640545895034144,-230.18553290473093,6.134912610746961,-178.76207717556426,2.04826222529925,-234.0167028266059,3.3918826386474685,-237.54875078667536,3.8965493998554375,-9.601209608289935,-3.8311699218749595,-7.363217881944422,15.733326115263043,-236.115,-234.572,-241.959
150,4,3,30,5,-211.45442822265628,3.228674389082955,-263.197419921875,4.233199143862986,-223.2983999294705,2.9802024976243757,-270.48433439127604,2.319147251404593,-271.7624261745877,2.520935807914506,-11.843971706814216,-7.28691446940104,-8.565006252712692,22.890001752629722,-273.940,-272.347,-269.001
150,5,3,30,5,-229.7489793701172,2.6098175001691577,-272.66888937717016,2.510258036941087,-236.08025417751733,1.3940590836657842,-276.9330093858507,2.0201852489258783,-278.07445795355903,2.4021390082067366,-6.331274807400121,-4.26412000868055,-5.405568576388873,14.751370183114815,-275.735,-280.535,-277.953
150,6,3,30,5,-225.51528801812069,4.192416944621641,-259.1585193752713,4.632307192780869,-231.8079670817057,1.818492027447579,-262.10200023735894,1.4799682765968896,-263.4539167548285,1.331132694428957,-6.2926790635850125,-2.943480862087654,-4.295397379557244,18.704145855619647,-262.051,-264.699,-263.612
150,8,3,30,5,-208.0868701205783,1.9751237424423225,-225.15313337537975,3.3236832042722377,-212.3363924594455,1.5661471778937517,-228.4709394124349,2.2037255903881485,-228.9454142896864,2.463225546322983,-4.2495223388671945,-3.317806037055135,-3.7922809143066445,24.900133529064302,-228.575,-231.573,-226.689
200,1,3,30,5,-40.2684281624688,5.59834769116579,-83.88847147623699,3.5081275988348173,-57.01914533657498,6.260115438257163,-86.07881829833984,6.643415247901078,-90.9045616929796,4.3671270103168816,-16.750717174106178,-2.1903468221028533,-7.016090216742612,38.40142260660938,-93.819,-93.012,-85.883
200,2,3,30,5,-51.53695670572916,4.551037371667405,-165.15878960503474,3.817783327807465,-73.2262548828125,5.482670252402897,-156.02476136610244,3.8452029515824124,-168.7288616400825,2.334828379313281,-21.689298177083337,9.134028238932302,-3.570072035047758,19.089023318524458,-171.323,-166.796,-168.067
200,3,3,30,5,-194.36667906358505,6.630794819158166,-275.5139491916232,8.566852127021555,-206.80477926974822,4.347427337971801,-277.4538801676432,5.783681760100359,-282.8982275797526,6.723999469115764,-12.43810020616317,-1.9399309760199799,-7.38427838812936,15.32781101143356,-290.646,-278.583,-279.466
200,4,3,30,5,-251.7543098280165,3.2759514586504976,-315.0215887451172,3.750064405445964,-263.209153266059,2.348765434500689,-324.05767989095057,3.9556406233706545,-325.4986109890408,3.3841987363002186,-11.454843438042502,-9.036091145833382,-10.477022243923614,18.105478272665746,-329.132,-322.437,-324.926
200,5,3,30,5,-272.01755478244354,2.356231592983683,-327.8094407280816,4.229782157310159,-279.1359354248047,2.308796472790091,-329.7425829671224,2.3081063509427517,-332.29643583170576,2.281174404941677,-7.11838064236116,-1.9331422390408193,-4.486995103624167,12.758809855069421,-334.422,-329.886,-332.581
