M,K,n_seeds,instances,beam_width,greedy_pre_mean,greedy_pre_std,greedy_pp_mean,greedy_pp_std,beam_pre_mean,beam_pre_std,beam_pp_mean,beam_pp_std,d_raw,d_final,recovery_pct,beam_pp_seed0,beam_pp_seed1,beam_pp_seed2
120,3,3,30,5,-157.44953101942272,7.651503830096028,-197.05178853352868,7.968922597899006,-166.59579298231336,6.75711008391449,-204.31411261664496,6.564176275999671,-9.146261962890634,-7.262324083116283,23.0953045028628,-200.814,-200.241,-211.887
120,4,3,30,5,-189.34833298068574,7.2649326840681,-230.046521742079,10.60647654618001,-199.23220773654512,4.122196407939451,-235.93675115288625,9.766872624597061,-9.883874755859381,-5.890229410807251,24.285785330170103,-237.865,-244.596,-225.350
120,5,3,30,5,-203.1092185465495,3.359372245026214,-236.96913045247393,3.390179886174318,-210.79245210096573,2.4165545394269765,-243.0566463487413,4.0561539362693555,-7.683233554416233,-6.0875158962673765,22.691239055090115,-244.282,-246.359,-238.529
120,6,3,30,5,-201.23671974012586,0.9002882513026241,-228.35900634087454,0.7068136359611604,-206.53693042670355,1.2215263538231051,-232.6993399793836,1.156235024391143,-5.300210686577685,-4.340333638509065,19.5419020696853,-233.289,-231.367,-233.441
120,8,3,30,5,-178.6761079457601,4.565078888953965,-191.5747325761583,4.444569259612188,-180.81070789252385,4.448039201980832,-193.11341273328992,5.420454889216731,-2.134599946763757,-1.5386801571316084,16.549050832389838,-186.980,-195.097,-197.262
150,1,3,30,5,-36.23552437676324,10.195176450658705,-78.0294953748915,8.729890124941345,-50.65089940812853,8.038715065057321,-80.54368825276696,5.9239841248300396,-14.415375031365294,-2.514192877875459,34.491518003902726,-81.251,-74.298,-86.082
150,2,3,30,5,-72.09074652777777,8.999255208293281,-139.7058592936198,7.968714045542523,-91.74393204752603,6.645161042297231,-142.99193202039933,4.09809358728059,-19.653185519748263,-3.286072726779537,29.066261543938012,-144.757,-138.307,-145.912
150,3,3,30,5,-169.16086756727432,3.640545895034144,-230.18553290473093,6.134912610746961,-178.76207717556426,2.04826222529925,-234.0167028266059,3.3918826386474685,-9.601209608289935,-3.8311699218749595,15.733326115263043,-234.049,-230.609,-237.392
150,4,3,30,5,-211.45442822265628,3.228674389082955,-263.197419921875,4.233199143862986,-223.2983999294705,2.9802024976243757,-270.48433439127604,2.319147251404593,-11.843971706814216,-7.28691446940104,22.890001752629722,-272.522,-270.971,-267.960
150,5,3,30,5,-229.7489793701172,2.6098175001691577,-272.66888937717016,2.510258036941087,-236.08025417751733,1.3940590836657842,-276.9330093858507,2.0201852489258783,-6.331274807400121,-4.26412000868055,14.751370183114815,-274.819,-278.845,-277.135
150,6,3,30,5,-225.51528801812069,4.192416944621641,-259.1585193752713,4.632307192780869,-231.8079670817057,1.818492027447579,-262.10200023735894,1.4799682765968896,-6.2926790635850125,-2.943480862087654,18.704145855619647,-260.412,-262.725,-263.168
150,8,3,30,5,-208.0868701205783,1.9751237424423225,-225.15313337537975,3.3236832042722377,-212.3363924594455,1.5661471778937517,-228.4709394124349,2.2037255903881485,-4.2495223388671945,-3.317806037055135,24.900133529064302,-228.020,-230.865,-226.528
200,1,3,30,5,-40.2684281624688,5.59834769116579,-83.88847147623699,3.5081275988348173,-57.01914533657498,6.260115438257163,-86.07881829833984,6.643415247901078,-16.750717174106178,-2.1903468221028533,38.40142260660938,-89.831,-89.997,-78.408
200,2,3,30,5,-51.53695670572916,4.551037371667405,-165.15878960503474,3.817783327807465,-73.2262548828125,5.482670252402897,-156.02476136610244,3.8452029515824124,-21.689298177083337,9.134028238932302,19.089023318524458,-157.997,-158.483,-151.594
200,3,3,30,5,-194.36667906358505,6.630794819158166,-275.5139491916232,8.566852127021555,-206.80477926974822,4.347427337971801,-277.4538801676432,5.783681760100359,-12.43810020616317,-1.9399309760199799,15.32781101143356,-284.125,-273.840,-274.397
200,4,3,30,5,-251.7543098280165,3.2759514586504976,-315.0215887451172,3.750064405445964,-263.209153266059,2.348765434500689,-324.05767989095057,3.9556406233706545,-11.454843438042502,-9.036091145833382,18.105478272665746,-328.293,-320.459,-323.422
200,5,3,30,5,-272.01755478244354,2.356231592983683,-327.8094407280816,4.229782157310159,-279.1359354248047,2.308796472790091,-329.7425829671224,2.3081063509427517,-7.11838064236116,-1.9331422390408193,12.758809855069421,-331.946,-327.342,-329.940
200,6,3,30,5,-269.43529983181423,1.4039854195878751,-310.74867817518447,0.9318832111187846,-278.64043020290796,2.1473661707314102,-319.2646960449219,2.064584772212052,-9.20513037109373,-8.516017869737425,22.281233683158533,-316.907,-320.750,-320.137
200,8,3,30,5,-249.8022255689833,0.795634751897194,-273.7037396104601,2.065016282485105,-253.2165284966363,1.3546578418803912,-276.28080910915804,2.0171698297466545,-3.4143029276530115,-2.577069498697938,14.284881374996152,-274.004,-276.992,-277.846
