n,d_first,d_last,d_mean,d_centroid,tour_len,hop,Rg2,E_excursion,E_tour,E_hover,M,Emax,K,seed,uniform_w
7,447.5720860245711,152.4944418427394,341.6466880693464,334.5628958109702,613.31435544325,102.21905924054165,18854.719483908706,4500.498959004828,4599.857665824375,198.28900946578634,50,50000,5,4474730,1
7,522.5906904795768,156.76310920803283,295.18893297144444,284.41866304367153,582.0279787113778,97.00466311856297,20051.218969676578,5095.153497657072,4365.209840335334,198.35708247790382,50,50000,5,4474730,1
7,508.13745616678546,179.34654506109607,312.1404115292231,307.4647996986862,443.8444510122281,73.97407516870469,18193.101862876767,5156.130009209111,3328.8333825917107,190.17008344790264,50,50000,5,4474730,1
11,466.1570890651071,185.14879995759392,381.4466360684744,376.67633192647247,532.7148715737735,53.27148715737735,12827.569106030916,4884.794167670258,3995.3615368033015,398.76524705487657,50,50000,5,4474730,1
9,458.88972573448643,107.88394399518006,292.27240157468026,283.49657584059486,662.6542433685222,82.83178042106528,13266.352638915601,4250.802522972499,4969.906825263916,185.4909173704391,50,50000,5,9944578,1
9,435.6026872856204,172.5437409334057,371.1790805361252,367.2326266317778,664.8140222955572,83.10175278694464,14906.058650303661,4561.098211642696,4986.105167216679,293.81311029421823,50,50000,5,9944578,1
9,390.7004018893796,178.28375377544987,309.0257454829318,272.51371638415156,687.3992145721941,85.92490182152426,24956.213974079932,4267.381167486221,5155.494109291456,233.8986846113832,50,50000,5,9944578,1
6,347.91725061432066,211.01134558364893,325.32698704822786,316.0527592439224,420.2628688088181,84.05257376176363,10101.402186841693,4191.964471484772,3151.971516066136,154.4580891373594,50,50000,5,9944578,1
5,447.4732599469257,212.9800233295434,298.73184967762023,283.55125416764474,434.43672555146475,108.60918138786619,15287.126573894016,4953.399624573518,3258.2754416359858,157.88780545041766,50,50000,5,9944578,1
5,557.3459650034778,155.49351903369484,375.5646678832696,364.49550768025694,498.1841337289128,124.5460334322282,27717.911573923666,5346.296130278794,3736.381002966846,132.3709875505226,50,50000,5,9925823,1
6,459.60054587226546,156.67658528882106,305.481459394101,244.40781436519373,696.3805658397454,139.27611316794906,44616.09958218044,4622.078483708149,5222.8542437980905,121.9130355556197,50,50000,5,9925823,1
