n,d_first,d_last,d_mean,d_centroid,tour_len,hop,Rg2,E_excursion,E_tour,E_hover,M,Emax,K,seed,uniform_w
14,196.17030474601603,159.2755689216484,356.611590104315,309.07895892025806,1590.101303789354,122.31548490687338,50568.807276670115,2665.844052507483,11925.759778420155,528.0903495114942,50,50000,3,6394530,0
11,188.67976425510315,90.41342549758544,286.15985971021917,217.5848040561813,1807.5711604738879,180.7571160473888,56156.1208512519,2093.1989231451644,13556.78370355416,290.9778428156242,50,50000,3,6394530,0
10,591.3991621158026,183.60918731452415,373.43131497784566,352.20185892093184,1374.9209091210798,152.7689899023422,39471.30497050025,5812.56262072745,10311.906818408099,234.06716344582242,50,50000,3,8372552,0
14,190.75840029427715,279.86735252790993,365.2132770056742,313.48235707769464,1624.9133937249433,124.9933379788418,59021.46378883849,3529.6931461664035,12186.850452937075,339.94641121806455,50,50000,3,8372552,0
14,178.52631148246334,280.8106450989128,368.2108437668283,258.4786330709946,1667.9509330845124,128.30391792957786,74684.84107858015,3445.027174360321,12509.631998133842,348.257908459615,50,50000,3,8372552,0
11,374.34668636885215,177.86546642557798,361.93975448317815,322.7213227646795,1475.232462048189,147.52324620481892,39572.13618389671,4141.591145958226,11064.243465361418,342.7107019029789,50,50000,3,7662622,0
15,310.9968392100973,63.96320652600642,347.10363132015715,300.3140222193835,1718.3507059360852,122.7393361382918,55154.79578276849,2812.2003430207774,12887.630294520639,410.0921867052455,50,50000,3,7662622,0
15,367.344340611771,71.09015932647836,441.9134024086065,389.41639460806203,1709.9778274781302,122.14127339129502,66884.98345018814,3288.2587495368703,12824.833706085976,405.09684668271956,50,50000,3,7662622,0
16,198.90916068773078,78.53264480063629,362.7838533786456,305.926401209475,1856.3961619816469,123.75974413210979,58128.90066731199,2080.813541162753,13922.971214862351,486.66286168846307,50,50000,3,9758090,0
15,563.306810049437,193.68571820427368,405.4728595763802,361.66766886817146,1395.3968905236973,99.67120646597837,45039.8536790231,5677.44396190283,10465.47667892773,484.68282927242274,50,50000,3,9758090,0
14,145.1777361591754,189.82865838131596,385.3333997502185,327.6329477541533,1669.3184496940082,128.40911151492372,60339.14073273355,2512.547959053685,12519.888372705062,385.2312184620663,50,50000,3,9758090,0
14,89.2355287037928,42.07030744660153,319.41007847202457,266.7127719179178,1888.7218325814335,145.28629481395643,48292.86869884181,984.7937711279575,14165.413744360752,393.2528174222375,50,50000,3,3862201,0
16,208.39382285260209,49.535964741009046,388.9224484910393,319.20481775243394,1897.9248555167185,126.52832370111456,70880.07753022524,1934.4734069520835,14234.436416375389,398.76132789400873,50,50000,3,3862201,0
14,454.9096517799869,87.65291201776783,366.43799022805837,319.3459737439408,1583.5816187122985,121.8139706701768,50368.408424111614,4069.2192284831604,11876.862140342238,443.65554716918075,50,50000,3,3862201,0
