layout,M,Emax,K,seed,coord,replan,divert,q,belief,tau,planner,L,Th,J,n_diverts,J_age,J_event,n_replans,n_never,share_never,n_reach_inf,K_reach_i,K_commute_i,r_max,r_c,rmax_over_rc,regime_bnd,P_bar,dup_frac,trunc_frac,empty_frac,T_s_over_t_c,mean_n,catch_rate,T_rev,n_sorties,secs,alloc
core,200,1500000.0,7,2,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,393734.7603855399,0,363933.96526347275,29800.79512206715,0,0,0.0,1,5.159223286643748,36.25256389206342,7419.771693842448,547.9741901556094,13.54036709600399,2.0135441713337636,308.18153617339374,0.0,0.08860759493670886,0.0,1.1382908076909148,27.73671497584541,0.9725,572.3629750157886,414,240.91461443901062,reserve_far
core,200,1500000.0,3,4,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,1009843.7971402002,0,879398.7494188036,130445.04772139654,0,0,0.0,0,6.029864771348001,32.18279015599401,6300.314603527087,612.5502680344188,10.285383800000355,2.0290584775846576,317.688405086656,0.0,0.43902439024390244,0.0,2.1986969366922122,50.67391304347826,0.9123222748815166,1424.1836190233162,92,108.79512000083923,reserve_far
core,200,1500000.0,5,3,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,530932.8165496718,0,493274.15084761765,37658.66570205412,0,0,0.0,1,4.838213115042605,44.68572730489948,7934.181769636198,443.58811782643966,17.88637127728602,2.017953971690175,310.8690865439403,0.0,0.07885304659498207,0.0,1.6074890938281114,40.98557692307692,0.964622641509434,771.0254122972964,208,181.25372624397278,reserve_far
core,200,1500000.0,8,2,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,344065.38412897754,0,326331.0567564297,17734.327372547785,0,0,0.0,1,5.159223286643748,36.78962239687312,7419.771693842448,540.3744923580458,13.730795584863015,2.012054871964194,307.27651915993846,0.0,0.06584362139917696,0.0,0.9841107757524232,23.776965265082268,0.9675810473815462,508.53997018582527,547,267.09322476387024,reserve_far
core,200,1500000.0,4,4,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,678649.014058984,0,613367.330927275,65281.68313170908,0,0,0.0,0,6.029864771348001,39.08714031890097,6300.314603527087,506.16428275995105,12.44717341408109,2.021783264586846,313.21231193692586,0.0,0.2978723404255319,0.0,1.914796567769884,46.226950354609926,0.937799043062201,1016.0519492719556,141,136.9617314338684,reserve_far
core,200,1500000.0,6,3,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,443886.53834004106,0,418819.91644916043,25066.621890880622,0,0,0.0,1,4.838213115042605,45.22032903743612,7934.181769636198,438.9415956687501,18.07571177561348,2.015206406534702,309.19321436073074,0.0,0.09158415841584158,0.0,1.3348985929515194,34.09602649006622,0.9670588235294117,643.8802557894927,302,210.34372186660767,reserve_far
core,200,1500000.0,2,5,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,1916571.2245722148,0,1575929.9205508737,340641.3040213409,0,0,0.0,0,5.1150318495492835,38.41066466161363,7486.75482575108,509.5605109234957,14.692572648894146,2.043677693236127,326.7789382076051,0.0,0.2191780821917808,0.0,2.469261942038924,50.148148148148145,0.8203125,2423.539570336587,54,62.96361947059631,reserve_far
core,200,1500000.0,7,3,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,383426.6913894539,0,362840.99269320193,20585.69869625197,0,0,0.0,1,4.838213115042605,42.5200108169522,7934.181769636198,467.26827003776975,16.979928401718503,2.013262173669058,308.0100697765634,0.0,0.09156193895870736,0.0,1.12845328611765,28.901678657074342,0.9764150943396226,547.4117464445395,417,242.17442202568054,reserve_far
core,200,1500000.0,5,4,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,509191.0829642637,0,473303.32072527386,35887.76223898984,0,0,0.0,0,6.029864771348001,46.52674930223195,6300.314603527087,426.17310073282226,14.783463791340738,2.017303520078726,310.4719355893701,0.0,0.12411347517730496,0.0,1.60145819815225,39.87677725118483,0.9521531100478469,788.2620876529961,211,182.93202948570251,reserve_far
core,200,1500000.0,3,5,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,1033797.4186786518,0,912354.9971819748,121442.4214966769,0,0,0.0,0,5.1150318495492835,37.71527841083877,7486.75482575108,522.556313669012,14.327173224995619,2.029595886331049,318.02030674494563,0.0,0.4482758620689655,0.0,2.371029855223214,52.05747126436781,0.9256410256410257,1473.9401389053912,87,104.70997834205627,reserve_far
core,200,1500000.0,6,4,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,421148.9413332642,0,394156.0352141137,26992.906119150553,0,0,0.0,0,6.029864771348001,40.91603169205993,6300.314603527087,485.2369357773092,12.98399635104963,2.0147104240347478,308.89117339343323,0.0,0.03759398496240601,0.0,1.3511436690464347,33.919463087248324,0.9614457831325302,650.5749033381736,298,214.76664757728577,reserve_far
core,200,1500000.0,8,3,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,336619.74572310183,0,321017.3056764543,15602.440046647482,0,0,0.0,1,4.838213115042605,42.0570566001917,7934.181769636198,472.75619546397826,16.782819232753436,2.0117957549362253,307.1191949120898,0.0,0.06919945725915876,0.0,0.9720577945498776,25.198915009041592,0.983451536643026,470.1773938615974,553,269.10570073127747,reserve_far
core,200,1500000.0,4,5,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,699191.330061229,0,638396.9922149741,60794.33784625481,0,0,0.0,0,5.1150318495492835,42.7566643781511,7486.75482575108,462.6256649907875,16.183180900480664,2.022210924291075,313.47455212200407,0.0,0.19672131147540983,0.0,1.9651460786666455,45.82962962962963,0.9347258485639687,1045.5662719012776,135,131.9425766468048,reserve_far
core,200,1500000.0,7,4,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,364036.1026633748,0,339128.6309413432,24907.471722031598,0,0,0.0,1,6.029864771348001,44.014775062002784,6300.314603527087,451.5174165461359,13.953646908509281,2.012736847762805,307.69077684496295,0.0,0.04963235294117647,0.0,1.1551872280413118,29.174447174447174,0.9637681159420289,553.5774085291094,407,250.5074851512909,reserve_far
core,200,1500000.0,2,6,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,2170887.727228195,0,1761519.1887443755,409368.53848381946,0,0,0.0,0,4.910322515263031,40.689852356542346,7812.771097824855,480.86365780209394,16.247372765775342,2.04433432973455,327.1902576786334,0.0,0.22535211267605634,0.0,2.5265970330431196,49.79245283018868,0.8235294117647058,2490.147979209954,53,65.42283368110657,reserve_far
core,200,1500000.0,5,5,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,521619.5697142566,0,487648.18986445025,33971.37984980634,0,0,0.0,0,5.1150318495492835,44.42355822020689,7486.75482575108,446.2254243405613,16.77796561416266,2.017866073463205,310.81540305222086,0.0,0.06428571428571428,0.0,1.6121308033716744,39.229665071770334,0.9530026109660574,805.6247550525089,209,169.7211389541626,reserve_far
core,200,1500000.0,3,6,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,1134554.9080116549,0,965903.5165089966,168651.39150265808,0,0,0.0,0,4.910322515263031,36.673218619646015,7812.771097824855,537.2908646236428,14.541045851016808,2.03002556606162,318.2858000221682,0.0,0.4824561403508772,0.0,2.3905401262915693,52.01176470588236,0.9186046511627907,1518.5784544961741,85,98.12307667732239,reserve_far
core,200,1500000.0,8,4,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,312255.95585180953,0,296540.30755717994,15715.648294629606,0,0,0.0,1,6.029864771348001,45.33985229851235,6300.314603527087,438.6385106445369,14.363341226627327,2.0112827648228766,306.80784912834037,0.0,0.06713286713286713,0.0,1.0035189199243295,25.90875232774674,0.9685230024213075,472.38162862141525,537,290.38608956336975,reserve_far
core,200,1500000.0,6,5,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,436271.5526869994,0,409053.5316728208,27218.02101417859,0,0,0.0,1,5.1150318495492835,41.583279381191296,7486.75482575108,477.33659748258793,15.684434977823335,2.0151924256690523,309.18469834074426,0.0,0.05721393034825871,0.0,1.3434213236874226,33.14950166112957,0.9530026109660574,661.2066902851309,301,211.22710990905762,reserve_far
core,200,1500000.0,4,6,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,735106.2678430985,0,658355.663890562,76750.60395253636,0,0,0.0,0,4.910322515263031,47.71012417503964,7812.771097824855,414.5341637022166,18.84711027928017,2.022502726858461,313.6535479298966,0.0,0.19672131147540983,0.0,1.9769128649758143,47.1985294117647,0.9484777517564403,1030.8882163591772,136,135.0604269504547,reserve_far
core,200,1500000.0,9,4,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,280276.62620336073,0,266027.1700852198,14249.456118140943,0,0,0.0,1,6.029864771348001,44.914172592195385,6300.314603527087,443.04221604440556,14.220573966467372,2.0101639359213954,306.1293532308615,0.0,0.04475982532751092,0.0,0.8803376653942978,22.55393586005831,0.9732360097323601,422.78843695734923,686,309.5993981361389,reserve_far
core,200,1500000.0,2,7,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,1911487.6407989934,0,1549428.237770193,362059.4030288003,0,1,0.01582730487275445,0,5.136971107610754,41.71601755148692,7453.356364169037,469.1088740752236,15.88832950317171,2.044012283183286,326.9884942312734,0.0,0.2191780821917808,0.0,2.465667859524943,51.74074074074074,0.8567901234567902,2332.318589575547,54,66.91729640960693,reserve_far
