layout,M,Emax,K,seed,coord,replan,q,belief,tau,Th,J,J_age,J_event,n_replans,n_never,share_never,n_reach_inf,K_reach_i,K_commute_i,r_max,r_c,rmax_over_rc,regime_bnd,P_bar,dup_frac,trunc_frac,empty_frac,T_s_over_t_c,mean_n,catch_rate,T_rev,n_sorties,secs
paper,100,1500000.0,4,5,exclude,per_leg_sa,0.0,kernel,0.0,43200,788250.355404754,536420.1797904407,251830.17561431343,2447,0,0.0,0,4.716895252054816,8.476088579914238,8146.821061143593,2343.6445965478288,3.4761333152406304,2.0135979071933963,308.21421524004984,0.03218767048554282,0.0,0.0,2.016587992755995,13.544776119402986,0.7640086206896551,1827.5103209324884,134,73.43224430084229
paper,100,1500000.0,4,6,exclude,per_leg_sa,0.0,kernel,0.0,43200,788209.6288186061,534705.1146528147,253504.51416579136,2577,0,0.0,0,4.756459715300161,8.050892248809102,8076.28272445257,2466.597920677533,3.274259925685071,2.0142696826038873,308.62289671481716,0.025507548152004164,0.0,0.0,2.019867827318931,14.261194029850746,0.7513397642015005,1738.092929716288,134,74.09003281593323
paper,100,1500000.0,4,11,exclude,per_leg_sa,0.0,kernel,0.0,43200,741033.3300603605,504460.50482557755,236572.82523478297,2607,0,0.0,0,4.559053205441548,15.462584224910902,8440.41818863996,1285.581640376803,6.565447050228626,2.012232928167702,307.38465026008805,0.0548436699128652,0.0,0.0,2.02725277762419,14.533834586466165,0.7725274725274726,1718.2566346657436,133,77.21003222465515
paper,100,1500000.0,4,4,exclude,per_leg_sa,0.0,kernel,0.0,43200,841114.5403036765,564612.3842837814,276502.1560198951,2677,0,0.0,0,4.769804670462605,13.613415290751952,8052.7543083059945,1460.1920890673503,5.514859564435407,2.0122544978128794,307.3977505027212,0.05297351324337831,0.0,0.0,2.0254522424053207,14.954887218045112,0.7865979381443299,1665.6947586160748,133,77.52946519851685
paper,100,1500000.0,4,7,exclude,per_leg_sa,0.0,kernel,0.0,43200,769427.5901533351,512266.94033627555,257160.64981705963,2671,0,0.0,0,5.218509503934779,11.87681890201076,7331.690553245741,1673.0055037376405,4.382346941995172,2.0130867356543902,307.90342018766046,0.05963528831936915,0.0,0.0,2.0204630576239873,14.970149253731343,0.7806652806652806,1661.2245822987236,134,78.05909514427185
paper,100,1500000.0,4,10,exclude,per_leg_sa,0.0,kernel,0.0,43200,760901.9532694907,523710.54308958433,237191.41017990638,2733,0,0.0,0,5.240538724622278,9.664039676079437,7299.469724120093,2056.2290744883067,3.549930216766616,2.0129351860236753,307.8113073254451,0.050268423621278674,0.0,0.0,2.0246601431277256,15.210526315789474,0.774054054054054,1635.9839273691186,133,78.8542091846466
paper,100,1500000.0,4,8,exclude,per_leg_sa,0.0,kernel,0.0,43200,711575.7381361899,496466.36772263655,215109.3704135533,2735,0,0.0,0,4.788543228013972,15.97304329858771,8019.937817272908,1244.638699707919,6.443587057959035,2.0120048440443443,307.24614131076527,0.04494925084581924,0.0,0.0,2.0254892756007146,15.406015037593985,0.7922535211267606,1616.8280944164778,133,79.1335220336914
paper,100,1500000.0,4,3,exclude,per_leg_sa,0.0,kernel,0.0,43200,712779.2684954407,497887.88220315956,214891.38629228112,2778,0,0.0,0,5.054127002413989,11.276602648465628,7580.990936890765,1762.8023356457131,4.300533748790305,2.012232210008878,307.384214093837,0.03857142857142857,0.0,0.0,2.022910616095325,15.544776119402986,0.7475935828877005,1595.8767542667458,134,81.49912309646606
paper,100,1500000.0,4,2,exclude,per_leg_sa,0.0,kernel,0.0,43200,747404.2882411146,514348.2596426613,233056.02859845324,2820,0,0.0,0,4.539162858794823,12.303896109642297,8478.86425558954,1615.5694842159987,5.248220109643969,2.0122952151527653,307.422480786355,0.050118203309692674,0.0,0.0,2.0248815594270595,15.729323308270677,0.8071895424836601,1581.5221802809726,133,82.93611669540405
paper,100,1500000.0,4,9,exclude,per_leg_sa,0.5,prior,0.0,43200,888606.9568397389,570119.1326933366,318487.8241464023,2388,0,0.0,0,4.740333835912077,8.03081366348137,8104.8909320055,2473.878309264432,3.276188202812352,2.013363121106157,308.0714445654038,0.03095632946379215,0.0,0.0,2.022401812432315,13.365671641791044,0.7573033707865169,1858.565118796363,134,67.72148084640503
paper,100,1500000.0,4,1,exclude,per_leg_sa,0.5,prior,0.0,43200,811635.1657671555,522938.1299256531,288697.0358415024,2465,0,0.0,0,4.704263543576533,7.864186673519872,8169.591647266075,2525.5104605217007,3.234827879342247,2.013988590007238,308.45185819946005,0.03160149973219068,0.0,0.0,2.0201175008129786,13.781954887218046,0.7222767419038273,1802.995812139667,133,68.43378496170044
paper,100,1500000.0,4,5,exclude,per_leg_sa,0.5,prior,0.0,43200,820727.6811831992,535207.0635859696,285520.6175972295,2540,0,0.0,0,4.716895252054816,9.077147994065243,8146.821061143593,2188.7810836054914,3.7220812634782376,2.0132988635111984,308.0323760379259,0.04659685863874346,0.0,0.0,2.0209475996328345,14.007407407407408,0.7704402515723271,1761.7350059692833,135,70.69293308258057
paper,100,1500000.0,4,6,exclude,per_leg_sa,0.5,prior,0.0,43200,769327.3374931826,519619.1275017406,249708.20999144207,2637,0,0.0,0,4.756459715300161,8.277285648961142,8076.28272445257,2399.2145624480145,3.366219449840291,2.014201706550333,308.5815304708822,0.02472250252270434,0.0,0.0,2.020632879788773,14.64179104477612,0.7383474576271186,1695.7768327493582,134,72.38930153846741
paper,100,1500000.0,4,11,exclude,per_leg_sa,0.5,prior,0.0,43200,728618.5124405774,496378.9849568168,232239.52748376058,2747,0,0.0,0,4.559053205441548,15.589886765321632,8440.41818863996,1275.1124799279794,6.619351877974474,2.0121879051314906,307.35730658834274,0.06246949731576379,0.0,0.0,2.0254015043066156,15.14179104477612,0.7546549835706462,1642.0385965967096,134,74.02280640602112
paper,100,1500000.0,4,12,exclude,per_leg_sa,0.5,prior,0.0,43200,837930.3214772968,557797.8710757578,280132.45040153887,2673,0,0.0,0,4.442264204156416,11.716692487566789,8671.083820102498,1696.7079613273793,5.110534056384624,2.012092128001932,307.2991426690438,0.052788844621513946,0.0,0.0,2.0220755038875713,14.843283582089553,0.727076591154261,1676.8310697488514,134,74.86742067337036
paper,100,1500000.0,4,4,exclude,per_leg_sa,0.5,prior,0.0,43200,813098.2247188432,551364.8629010469,261733.3618177964,2843,0,0.0,0,4.769804670462605,13.479921279042353,8052.7543083059945,1474.6931338631252,5.460630502300432,2.0121992238861037,307.36418065068915,0.0764872521246459,0.0,0.0,2.0222668719003036,15.671641791044776,0.7956043956043956,1582.0208678972804,134,75.78024816513062
