layout,M,Emax,L,seed,argmin,rc_meas,rc_oracle_n,rc_exante,n_meas,n_exante,Pb_meas,Pb_exante,rule_meas,rule_oracle_n,rule_exante,rule_fixedpoint,reg_meas,reg_exante,reg_fixedpoint,ratio_meas,ratio_exante,bnd_exante,bnd_meas
core,200,3000000.0,12600.0,12,29,602.6649958693278,298.23015557735243,288.18509113374313,59.83018867924528,149.41922309156237,310.4822464836518,310.1862233559302,10,10,10,10,1.1332675654328694,1.1332675654328694,1.1332675654328694,12.016489267593537,25.12939661912349,2.0168353248452284,2.0173204124621567
paper,50,1500000.0,12600.0,1,5,2544.406763507266,1845.353454179363,1761.6171306997248,26.0,52.180717704180125,307.02001444445204,306.57691669915613,5,5,5,5,0.0,0.0,0.0,2.702977612607081,3.90406882362367,2.010902099940372,2.0116323680805066
paper,50,1500000.0,12600.0,2,4,1384.0328412999797,742.671375030586,581.9846730933896,24.764705882352942,43.01287970867601,306.56883505093094,306.22009295222557,4,4,4,4,0.0,0.0,0.0,5.946750034819427,14.142120450431792,2.010313636042831,2.010888775700095
paper,50,1500000.0,12600.0,3,5,1888.3734029949221,1110.763238546721,869.2454761856458,24.484848484848484,47.498867721397104,307.12941542087117,306.71517285925506,5,5,5,5,0.0,0.0,0.0,3.7566179770337613,8.160982906890725,2.011130016135833,2.011812590388937
paper,50,1500000.0,12600.0,4,4,1217.679091476722,615.3174789878292,389.2528523824186,24.393939393939394,43.77264142303421,307.11550080384984,306.7500659470389,4,4,4,4,0.0,0.0,0.0,6.36339261677983,19.906264251848356,2.0111875295035353,2.011789669848844
paper,50,1500000.0,12600.0,5,5,2081.4139864459285,1338.7514480712089,1201.418635208831,24.242424242424242,41.9858057775953,306.6600970486869,306.2640525090578,5,5,5,5,0.0,0.0,0.0,3.507078583700828,6.075885791808988,2.0103861514441856,2.0110392294543384
paper,50,1500000.0,12600.0,6,5,2210.2473183266384,1525.2058766496775,1371.7798408449773,23.676470588235293,44.668162017279435,307.0692435588211,306.6975654235709,5,5,5,5,0.0,0.0,0.0,3.1440491529983814,5.065773677517631,2.011100993016311,2.011713469909376
paper,50,1500000.0,12600.0,7,5,1085.027641189867,562.0807331808965,387.2342581776768,26.666666666666668,48.67844089239106,306.86087939853485,306.5416108224727,5,5,5,5,0.0,0.0,0.0,7.013208341608964,19.65095996382002,2.010843889731863,2.0113701587426416
paper,50,1500000.0,12600.0,8,4,1423.4086166120642,912.4259891628521,667.5263932757551,22.818181818181817,41.58090937189795,306.7901781127271,306.48611308659997,4,4,4,4,0.0,0.0,0.0,5.638600033286299,12.023542370545993,2.01075238162239,2.011253641299958
paper,50,1500000.0,12600.0,9,4,1974.5214991480746,1204.265591435332,804.0811790527497,22.363636363636363,42.78224282682193,307.2564947312448,306.69058667749005,5,5,5,5,0.01957824856808621,0.01957824856808621,0.01957824856808621,3.8404936433840406,9.430810549671918,2.0110894894081497,2.0120218949068325
paper,50,1500000.0,12600.0,10,4,2402.9328693934663,1746.200707769205,1645.9139501692255,23.454545454545453,43.0360289733513,307.08443769881103,306.70202140507786,4,4,4,4,0.0,0.0,0.0,3.4791720987919885,5.079376715656587,2.0111083380875954,2.011738499973867
paper,50,1500000.0,12600.0,11,5,1305.5854957843699,714.3585589340835,531.4951590812572,24.03030303030303,44.07497386483226,306.365454313705,306.034791119258,5,5,5,5,0.0,0.0,0.0,5.4506098835567816,13.389091293798044,2.0100079061064458,2.0105534033615857
paper,50,1500000.0,12600.0,12,4,2335.0428675574294,1733.3609142509388,1542.313345797764,22.818181818181817,39.145130030461665,307.330600568282,306.9435609203649,4,4,4,4,0.0,0.0,0.0,3.5672836313906178,5.400822227680619,2.0115064028803196,2.0121439300947306
paper,50,3000000.0,12600.0,1,11,3051.585730560057,1948.8260587395296,1781.1528730778257,14.238532110091743,42.91322150261566,303.08445261259317,302.69706161710144,11,11,11,11,0.0,0.0,0.0,2.2537379337738472,3.8612488703689585,2.004485044881375,2.0051276081715415
paper,50,3000000.0,12600.0,2,9,1984.1262443126266,878.5214638179269,573.1902140015692,18.028985507246375,44.9170711576123,303.4233418057961,303.1076864949422,9,9,9,9,0.0,0.0,0.0,4.148172209698899,14.359103044926293,2.0051661330263473,2.0056893851247777
paper,50,3000000.0,12600.0,3,11,2537.3541553666055,1374.9002739801076,927.4799629804601,14.0,39.53730634866735,303.0992846398145,302.7262131721433,10,10,10,10,0.13310688569220952,0.13310688569220952,0.13310688569220952,2.795785309685393,7.648572213082512,2.0045334127048626,2.005152201807956
paper,50,3000000.0,12600.0,4,10,1760.119558563795,842.0800158387015,378.1269403683384,17.14864864864865,45.88920927681282,303.68218945410734,303.37235935901515,9,9,9,9,0.04561751201041653,0.04561751201041653,0.04561751201041653,4.402297618141774,20.49198116580152,2.0056048915271765,2.006118265835098
paper,50,3000000.0,12600.0,5,10,2860.0014047032123,1550.4461188172647,1240.6021620241522,14.19047619047619,34.69057229744294,302.9301751315606,302.55154793511167,10,10,10,10,0.0,0.0,0.0,2.5523352553868355,5.883983309983761,2.0042435759235433,2.0048717582052626
paper,50,3000000.0,12600.0,6,11,2821.261603084711,1709.9465129885145,1409.7992090706962,14.41904761904762,36.94901482221429,303.0684496501541,302.7343945572266,10,10,10,10,0.09939449018491486,0.09939449018491486,0.09939449018491486,2.4631272057521274,4.929160240969704,2.004546986717938,2.0051010722810485
paper,50,3000000.0,12600.0,7,10,2323.3884439691515,857.2375333552329,428.2839109624734,14.128440366972477,40.78334844549651,303.0901476820511,302.6360635180951,10,10,10,10,0.0,0.0,0.0,3.2751841061365403,17.76747785591186,2.0043838302131562,2.005137051487758
paper,50,3000000.0,12600.0,8,9,1921.802721863262,1048.6841593837366,653.040013571981,17.58823529411765,43.51777784582363,303.5216879781097,303.2394332211005,9,9,9,9,0.0,0.0,0.0,4.176303728629983,12.290260483593054,2.0053845586326666,2.005852354934377
paper,50,3000000.0,12600.0,9,10,2776.340921339659,1549.0069527419664,914.1904763936939,13.89423076923077,35.51087909115414,303.1424319539028,302.7232682753099,10,10,10,10,0.0,0.0,0.0,2.7313422526453413,8.294920437278376,2.0045285266818955,2.005223742845182
paper,50,3000000.0,12600.0,10,9,3125.654134123281,1830.7114579793258,1640.5596611166898,17.15714285714286,45.089895129219826,303.70938532105134,303.3469458526362,9,9,9,9,0.0,0.0,0.0,2.67470956021463,5.095954260373147,2.005562770877807,2.0061633156385885
paper,50,3000000.0,12600.0,11,11,2149.6142673856757,1001.1547229865856,574.6273279478463,13.764150943396226,36.690259049906125,302.7562140825795,302.4367093344623,10,10,10,10,0.02392112232241117,0.02392112232241117,0.02392112232241117,3.31047170421199,12.384091150980803,2.0040529689454676,2.0045831873345605
paper,50,3000000.0,12600.0,12,9,3235.171551733045,1874.241234781165,1527.8374285106795,16.62857142857143,41.10559672032676,303.9508687846014,303.46593522077967,9,9,9,9,0.0,0.0,0.0,2.574750694617993,5.451993808106137,2.0057599700736746,2.0065632432268417
paper,100,1500000.0,8000.0,1,7,1427.6565262935583,1111.652247922109,1006.6912202636022,29.986486486486488,62.37186422111516,309.51276085446113,309.04878191454384,7,7,7,7,0.0,0.0,0.0,3.633256473243564,5.15256536593839,2.0149692637621164,2.015730871268666
paper,100,1500000.0,8000.0,2,7,764.7380623650753,428.04752846722994,349.63371850152765,32.63513513513514,58.557561803454,308.8265138362947,308.43330498515434,6,6,6,6,0.1367846200206284,0.1367846200206284,0.1367846200206284,7.039542219090993,15.397273179592565,2.0139580941129576,2.014604214848159
paper,100,1500000.0,8000.0,3,7,1027.8630548952335,564.3826982629389,405.3926658923285,33.17567567567568,68.39868370859745,308.7846548382299,308.2716286951135,7,7,7,7,0.0,0.0,0.0,4.682849097508295,11.873247801322268,2.0136923081736287,2.014535451718716
paper,100,1500000.0,8000.0,4,7,813.5883085714793,381.33054425977656,243.44734838015492,32.63513513513514,70.83131710954771,309.03738379135837,308.50845273922346,7,7,7,7,0.0,0.0,0.0,6.28433302743352,21.00191237369955,2.014081608713394,2.0149505468927345
paper,100,1500000.0,8000.0,5,7,1288.063056034124,825.3474323627137,736.8854694095703,30.135135135135137,55.16268032550088,309.3524415081573,308.8376458415054,7,7,7,7,0.0,0.0,0.0,4.0157853891502775,7.019523406901516,2.0146225009685548,2.015467776459298
paper,100,1500000.0,8000.0,6,7,1374.5646311670532,980.3657474167305,895.0808233071836,30.92,59.640784985311505,309.6683227129819,309.1809292037046,7,7,7,7,0.0,0.0,0.0,3.7304892319645258,5.728866513150811,2.0151862377641265,2.0159860935941034
paper,100,1500000.0,8000.0,7,8,992.6829176418119,622.0466615557082,392.8346518026849,24.526315789473685,52.26569882921884,307.3456235200968,306.80624818900355,8,8,8,8,0.0,0.0,0.0,4.689354010610745,11.849875258577153,2.0112801263563647,2.0121686676308723
paper,100,1500000.0,8000.0,8,7,634.227072873235,382.13903390131,299.5657237792194,32.432432432432435,59.646914145912135,308.9016519568958,308.5668392538277,7,7,7,7,0.0,0.0,0.0,8.028708058611501,16.99801948877088,2.0141775637658785,2.014727634978792
paper,100,1500000.0,10000.0,1,5,1738.6368590147415,1357.2188097354183,1239.833727309724,35.1764705882353,71.31964886337299,313.7785688685867,313.3841958250831,5,5,5,5,0.0,0.0,0.0,3.7292450467948117,5.229574540389874,2.0220635919959236,2.022706489123487
paper,100,1500000.0,10000.0,2,5,918.2515040917474,494.7955088948844,423.05673660940795,39.8235294117647,66.53535794944479,313.13264729895945,312.5863303312706,5,5,5,5,0.0,0.0,0.0,7.328337950681571,15.90627630619401,2.020761693265166,2.021653312526579
paper,100,1500000.0,10000.0,3,6,1175.7773507682264,782.531921638894,562.484577078757,26.635135135135137,53.97409241412977,308.9037992908057,308.3762175425607,6,6,6,6,0.0,0.0,0.0,5.117175857990189,10.6965767932165,2.0138642538041616,2.0147311619189354
paper,100,1500000.0,10000.0,4,6,870.8210759007393,420.96930076891937,289.42235338515655,38.911764705882355,80.30762515821937,313.26163386727546,312.7148447694415,5,5,5,5,0.07458881976785836,0.07458881976785836,0.07458881976785836,7.339136620288216,22.082174279596178,2.020971505918818,2.021863712157473
paper,100,1500000.0,10000.0,5,6,1477.3410730405694,996.2326312608601,902.7818306231306,35.705882352941174,62.889553498971466,313.6642045747246,313.12040114344467,5,5,5,5,0.030392497069028357,0.030392497069028357,0.030392497069028357,4.376600041045537,7.162008340868742,2.0216333346549282,2.022520096908816
