n,d_first,d_last,d_mean,tour_len,hop,E_excursion,E_tour,E_hover,M,Emax,K,seed
6,289.6522545223419,159.2755689216484,264.99152403192915,606.6580768933635,121.3316153786727,3366.9586758299274,4549.935576700226,201.59251426844796,50,25000,3,6394530
4,492.5535561466339,94.30083071389777,259.6827395145309,501.93659191913525,167.3121973063784,4401.4079014539875,3764.5244393935145,122.86033886196421,50,25000,3,6394530
7,95.57982979947124,131.7353038112792,199.8376339024051,834.7324692381906,139.1220782063651,1704.8635020806285,6260.49351928643,171.43907367598888,50,25000,3,8372552
6,331.0845900956849,183.60918731452415,311.5015769786269,525.3482569471423,105.06965138942846,3860.2033305765685,3940.1119271035673,139.15664101897264,50,25000,3,8372552
6,280.8106450989128,353.8846969729485,360.4181031359976,395.8929393327037,79.17858786654074,4760.21506553896,2969.197044995278,133.13262919493687,50,25000,3,8372552
5,322.0643555757218,190.04151745898727,241.38156514720944,273.0806940868773,68.27017352171933,3840.794047760318,2048.10520565158,115.85060550883031,50,25000,4,4474730
2,393.7897256104818,185.14879995759392,289.4692627840379,209.13251071920558,209.13251071920558,4342.038941760568,1568.4938303940419,96.83548147338857,50,25000,4,4474730
4,331.4505904242088,121.75443024662259,246.79844454980616,339.6163477821274,113.20544926070913,3399.0376550312353,2547.1226083659553,78.06676374876487,50,25000,4,4474730
5,192.55300993764715,156.76310920803283,210.23351922435523,405.96677616142455,101.49169404035614,2619.8708935925997,3044.750821210684,167.02220322168935,50,25000,4,4474730
5,330.48992009295335,107.88394399518006,247.5340375437874,338.2100458199953,84.55251145499882,3287.8039806610004,2536.5753436499645,120.01707728043489,50,25000,4,9944578
2,376.77545738431616,273.8184890306461,325.29697320748113,131.7795805928442,131.7795805928442,4879.454598112217,988.3468544463316,64.7557397572481,50,25000,4,9944578
3,279.28561296523634,212.9800233295434,247.47968421053466,222.64020795662077,111.32010397831039,3691.9922722108477,1669.801559674656,76.19916589878497,50,25000,4,9944578
